Date_Concluded,casedecisions,caseid,caseno,caseproceedings,casetitle,casetype,claimant,date_concluded_order,econsector,instrumentinvk1,instrumentinvk2,isapproved,partiessub,respondent,rulesapplied,seatarbitration,status,subject
,"[{'Date_Concluded': '', 'availinsite': None, 'bibliography': '', 'date_concluded_order': '', 'dcsndate': None, 'dcsnid': '', 'dcsntitle': '', 'docid': None, 'docurl': '', 'docurlen': '', 'docurlfr': '', 'docurlsp': '', 'isapproved': 'Y', 'isonline': '', 'isvideo': '', 'original': '', 'proceedingtype': '', 'publisheddecisions': None, 'translated': '', 'videotitle': '', 'videourl': ''}]",11,ARB/26/12,"[{'Date_Concluded': None, 'arb_history': None, 'arbitrators': None, 'claimant': None, 'claimanthdr': None, 'clmnt_nationality': None, 'compoftribunalhdr': None, 'date_concluded_order': None, 'dateconstituted': '', 'datecreated': '', 'dateofconsthdr': None, 'datepublished': '', 'daterange': '', 'dateregistered': '3/16/2026 12:00:00 AM', 'development': '', 'isapproved': 'Y', 'language': None, 'lastproc': '', 'president': None, 'proceedingid': '', 'prsdnt_history': None, 'prtyisapproved': '', 'reconstituted': None, 'remarks': '', 'resp_nationality': None, 'respondent': None, 'sequenceno': '', 'status': None, 'title': '', 'trbisapproved': '', 'trbnlid': ''}]",,,Sinolam International Pte Ltd,,,,,Y,,Republic of Panama,,,Pending,
,"[{'Date_Concluded': '', 'availinsite': None, 'bibliography': '', 'date_concluded_order': '', 'dcsndate': None, 'dcsnid': '', 'dcsntitle': '', 'docid': None, 'docurl': '', 'docurlen': '', 'docurlfr': '', 'docurlsp': '', 'isapproved': 'Y', 'isonline': '', 'isvideo': '', 'original': '', 'proceedingtype': '', 'publisheddecisions': None, 'translated': '', 'videotitle': '', 'videourl': ''}]",12,ARB/26/11,"[{'Date_Concluded': None, 'arb_history': None, 'arbitrators': None, 'claimant': None, 'claimanthdr': None, 'clmnt_nationality': None, 'compoftribunalhdr': None, 'date_concluded_order': None, 'dateconstituted': '', 'datecreated': '', 'dateofconsthdr': None, 'datepublished': '', 'daterange': '', 'dateregistered': '3/3/2026 12:00:00 AM', 'development': '', 'isapproved': 'Y', 'language': None, 'lastproc': '', 'president': None, 'proceedingid': '', 'prsdnt_history': None, 'prtyisapproved': '', 'reconstituted': None, 'remarks': '', 'resp_nationality': None, 'respondent': None, 'sequenceno': '', 'status': None, 'title': '', 'trbisapproved': '', 'trbnlid': ''}]",,,Koninklijke Ahold Delhaize N.V. and Delhaize 'The Lion' Nederland B.V.,,,,,Y,,Republic of Serbia,,,Pending,
,"[{'Date_Concluded': '', 'availinsite': None, 'bibliography': '', 'date_concluded_order': '', 'dcsndate': None, 'dcsnid': '', 'dcsntitle': '', 'docid': None, 'docurl': '', 'docurlen': '', 'docurlfr': '', 'docurlsp': '', 'isapproved': 'Y', 'isonline': '', 'isvideo': '', 'original': '', 'proceedingtype': '', 'publisheddecisions': None, 'translated': '', 'videotitle': '', 'videourl': ''}]",13,ARB/26/10,"[{'Date_Concluded': None, 'arb_history': None, 'arbitrators': None, 'claimant': None, 'claimanthdr': None, 'clmnt_nationality': None, 'compoftribunalhdr': None, 'date_concluded_order': None, 'dateconstituted': '', 'datecreated': '', 'dateofconsthdr': None, 'datepublished': '', 'daterange': '', 'dateregistered': '2/27/2026 12:00:00 AM', 'development': '', 'isapproved': 'Y', 'language': None, 'lastproc': '', 'president': None, 'proceedingid': '', 'prsdnt_history': None, 'prtyisapproved': '', 'reconstituted': None, 'remarks': '', 'resp_nationality': None, 'respondent': None, 'sequenceno': '', 'status': None, 'title': '', 'trbisapproved': '', 'trbnlid': ''}]",,,Agip Caspian Sea B.V. and others,,,,,Y,,Republic of Kazakhstan,,,Pending,
,"[{'Date_Concluded': '', 'availinsite': None, 'bibliography': '', 'date_concluded_order': '', 'dcsndate': None, 'dcsnid': '', 'dcsntitle': '', 'docid': None, 'docurl': '', 'docurlen': '', 'docurlfr': '', 'docurlsp': '', 'isapproved': 'Y', 'isonline': '', 'isvideo': '', 'original': '', 'proceedingtype': '', 'publisheddecisions': None, 'translated': '', 'videotitle': '', 'videourl': ''}]",14,ARB/26/9,"[{'Date_Concluded': None, 'arb_history': None, 'arbitrators': None, 'claimant': None, 'claimanthdr': None, 'clmnt_nationality': None, 'compoftribunalhdr': None, 'date_concluded_order': None, 'dateconstituted': '', 'datecreated': '', 'dateofconsthdr': None, 'datepublished': '', 'daterange': '', 'dateregistered': '2/19/2026 12:00:00 AM', 'development': '', 'isapproved': 'Y', 'language': None, 'lastproc': '', 'president': None, 'proceedingid': '', 'prsdnt_history': None, 'prtyisapproved': '', 'reconstituted': None, 'remarks': '', 'resp_nationality': None, 'respondent': None, 'sequenceno': '', 'status': None, 'title': '', 'trbisapproved': '', 'trbnlid': ''}]",,,Al Oroba for Real Estate Investment Company and others,,,,,Y,,Arab Republic of Egypt,,,Pending,
,"[{'Date_Concluded': '', 'availinsite': None, 'bibliography': '', 'date_concluded_order': '', 'dcsndate': None, 'dcsnid': '', 'dcsntitle': '', 'docid': None, 'docurl': '', 'docurlen': '', 'docurlfr': '', 'docurlsp': '', 'isapproved': 'Y', 'isonline': '', 'isvideo': '', 'original': '', 'proceedingtype': '', 'publisheddecisions': None, 'translated': '', 'videotitle': '', 'videourl': ''}]",15,ARB/26/8,"[{'Date_Concluded': None, 'arb_history': None, 'arbitrators': None, 'claimant': None, 'claimanthdr': None, 'clmnt_nationality': None, 'compoftribunalhdr': None, 'date_concluded_order': None, 'dateconstituted': '', 'datecreated': '', 'dateofconsthdr': None, 'datepublished': '', 'daterange': '', 'dateregistered': '2/10/2026 12:00:00 AM', 'development': '', 'isapproved': 'Y', 'language': None, 'lastproc': '', 'president': None, 'proceedingid': '', 'prsdnt_history': None, 'prtyisapproved': '', 'reconstituted': None, 'remarks': '', 'resp_nationality': None, 'respondent': None, 'sequenceno': '', 'status': None, 'title': '', 'trbisapproved': '', 'trbnlid': ''}]",,,Blue Water Worldwide LLC and others,,,,,Y,,Republic of Peru,,,Pending,
,"[{'Date_Concluded': '', 'availinsite': None, 'bibliography': '', 'date_concluded_order': '', 'dcsndate': None, 'dcsnid': '', 'dcsntitle': '', 'docid': None, 'docurl': '', 'docurlen': '', 'docurlfr': '', 'docurlsp': '', 'isapproved': 'Y', 'isonline': '', 'isvideo': '', 'original': '', 'proceedingtype': '', 'publisheddecisions': None, 'translated': '', 'videotitle': '', 'videourl': ''}]",16,ARB(AF)/26/2,"[{'Date_Concluded': None, 'arb_history': None, 'arbitrators': None, 'claimant': None, 'claimanthdr': None, 'clmnt_nationality': None, 'compoftribunalhdr': None, 'date_concluded_order': None, 'dateconstituted': '', 'datecreated': '', 'dateofconsthdr': None, 'datepublished': '', 'daterange': '', 'dateregistered': '2/5/2026 12:00:00 AM', 'development': '', 'isapproved': 'Y', 'language': None, 'lastproc': '', 'president': None, 'proceedingid': '', 'prsdnt_history': None, 'prtyisapproved': '', 'reconstituted': None, 'remarks': '', 'resp_nationality': None, 'respondent': None, 'sequenceno': '', 'status': None, 'title': '', 'trbisapproved': '', 'trbnlid': ''}]",,,Tanganyika Gold S.A.,,,,,Y,,Republic of Burundi ,,,Pending,
,"[{'Date_Concluded': '', 'availinsite': None, 'bibliography': '', 'date_concluded_order': '', 'dcsndate': None, 'dcsnid': '', 'dcsntitle': '', 'docid': None, 'docurl': '', 'docurlen': '', 'docurlfr': '', 'docurlsp': '', 'isapproved': 'Y', 'isonline': '', 'isvideo': '', 'original': '', 'proceedingtype': '', 'publisheddecisions': None, 'translated': '', 'videotitle': '', 'videourl': ''}]",17,ARB/26/7,"[{'Date_Concluded': None, 'arb_history': None, 'arbitrators': None, 'claimant': None, 'claimanthdr': None, 'clmnt_nationality': None, 'compoftribunalhdr': None, 'date_concluded_order': None, 'dateconstituted': '', 'datecreated': '', 'dateofconsthdr': None, 'datepublished': '', 'daterange': '', 'dateregistered': '2/2/2026 12:00:00 AM', 'development': '', 'isapproved': 'Y', 'language': None, 'lastproc': '', 'president': None, 'proceedingid': '', 'prsdnt_history': None, 'prtyisapproved': '', 'reconstituted': None, 'remarks': '', 'resp_nationality': None, 'respondent': None, 'sequenceno': '', 'status': None, 'title': '', 'trbisapproved': '', 'trbnlid': ''}]",,,Webuild S.p.A.,,,,,Y,,Argentine Republic,,,Pending,
,"[{'Date_Concluded': '', 'availinsite': None, 'bibliography': '', 'date_concluded_order': '', 'dcsndate': None, 'dcsnid': '', 'dcsntitle': '', 'docid': None, 'docurl': '', 'docurlen': '', 'docurlfr': '', 'docurlsp': '', 'isapproved': 'Y', 'isonline': '', 'isvideo': '', 'original': '', 'proceedingtype': '', 'publisheddecisions': None, 'translated': '', 'videotitle': '', 'videourl': ''}]",18,ARB/26/6,"[{'Date_Concluded': None, 'arb_history': None, 'arbitrators': None, 'claimant': None, 'claimanthdr': None, 'clmnt_nationality': None, 'compoftribunalhdr': None, 'date_concluded_order': None, 'dateconstituted': '', 'datecreated': '', 'dateofconsthdr': None, 'datepublished': '', 'daterange': '', 'dateregistered': '1/30/2026 12:00:00 AM', 'development': '', 'isapproved': 'Y', 'language': None, 'lastproc': '', 'president': None, 'proceedingid': '', 'prsdnt_history': None, 'prtyisapproved': '', 'reconstituted': None, 'remarks': '', 'resp_nationality': None, 'respondent': None, 'sequenceno': '', 'status': None, 'title': '', 'trbisapproved': '', 'trbnlid': ''}]",,,Igor Viktorovich Makarov,,,,,Y,,Canada,,,Pending,
,"[{'Date_Concluded': '', 'availinsite': None, 'bibliography': '', 'date_concluded_order': '', 'dcsndate': None, 'dcsnid': '', 'dcsntitle': '', 'docid': None, 'docurl': '', 'docurlen': '', 'docurlfr': '', 'docurlsp': '', 'isapproved': 'Y', 'isonline': '', 'isvideo': '', 'original': '', 'proceedingtype': '', 'publisheddecisions': None, 'translated': '', 'videotitle': '', 'videourl': ''}]",19,ARB/26/5,"[{'Date_Concluded': None, 'arb_history': None, 'arbitrators': None, 'claimant': None, 'claimanthdr': None, 'clmnt_nationality': None, 'compoftribunalhdr': None, 'date_concluded_order': None, 'dateconstituted': '', 'datecreated': '', 'dateofconsthdr': None, 'datepublished': '', 'daterange': '', 'dateregistered': '1/22/2026 12:00:00 AM', 'development': '', 'isapproved': 'Y', 'language': None, 'lastproc': '', 'president': None, 'proceedingid': '', 'prsdnt_history': None, 'prtyisapproved': '', 'reconstituted': None, 'remarks': '', 'resp_nationality': None, 'respondent': None, 'sequenceno': '', 'status': None, 'title': '', 'trbisapproved': '', 'trbnlid': ''}]",,,"Upland Oil and Gas LLC and Upland Oil and Gas LLC, Sucursal del Perú",,,,,Y,,"PeruPetro, S.A.",,,Pending,
,"[{'Date_Concluded': '', 'availinsite': None, 'bibliography': '', 'date_concluded_order': '', 'dcsndate': None, 'dcsnid': '', 'dcsntitle': '', 'docid': None, 'docurl': '', 'docurlen': '', 'docurlfr': '', 'docurlsp': '', 'isapproved': 'Y', 'isonline': '', 'isvideo': '', 'original': '', 'proceedingtype': '', 'publisheddecisions': None, 'translated': '', 'videotitle': '', 'videourl': ''}]",20,ARB/26/4,"[{'Date_Concluded': None, 'arb_history': None, 'arbitrators': None, 'claimant': None, 'claimanthdr': None, 'clmnt_nationality': None, 'compoftribunalhdr': None, 'date_concluded_order': None, 'dateconstituted': '', 'datecreated': '', 'dateofconsthdr': None, 'datepublished': '', 'daterange': '', 'dateregistered': '1/16/2026 12:00:00 AM', 'development': '', 'isapproved': 'Y', 'language': None, 'lastproc': '', 'president': None, 'proceedingid': '', 'prsdnt_history': None, 'prtyisapproved': '', 'reconstituted': None, 'remarks': '', 'resp_nationality': None, 'respondent': None, 'sequenceno': '', 'status': None, 'title': '', 'trbisapproved': '', 'trbnlid': ''}]",,,"S-Planning Co., Ltd. and others",,,,,Y,,Swiss Confederation,,,Pending,
,"[{'Date_Concluded': '', 'availinsite': None, 'bibliography': '', 'date_concluded_order': '', 'dcsndate': None, 'dcsnid': '', 'dcsntitle': '', 'docid': None, 'docurl': '', 'docurlen': '', 'docurlfr': '', 'docurlsp': '', 'isapproved': 'Y', 'isonline': '', 'isvideo': '', 'original': '', 'proceedingtype': '', 'publisheddecisions': None, 'translated': '', 'videotitle': '', 'videourl': ''}]",21,ARB/26/2,"[{'Date_Concluded': None, 'arb_history': None, 'arbitrators': None, 'claimant': None, 'claimanthdr': None, 'clmnt_nationality': None, 'compoftribunalhdr': None, 'date_concluded_order': None, 'dateconstituted': '', 'datecreated': '', 'dateofconsthdr': None, 'datepublished': '', 'daterange': '', 'dateregistered': '1/15/2026 12:00:00 AM', 'development': '', 'isapproved': 'Y', 'language': None, 'lastproc': '', 'president': None, 'proceedingid': '', 'prsdnt_history': None, 'prtyisapproved': '', 'reconstituted': None, 'remarks': '', 'resp_nationality': None, 'respondent': None, 'sequenceno': '', 'status': None, 'title': '', 'trbisapproved': '', 'trbnlid': ''}]",,,Shell PLC,,,,,Y,,Kingdom of the Netherlands ,,,Pending,
,"[{'Date_Concluded': '', 'availinsite': None, 'bibliography': '', 'date_concluded_order': '', 'dcsndate': None, 'dcsnid': '', 'dcsntitle': '', 'docid': None, 'docurl': '', 'docurlen': '', 'docurlfr': '', 'docurlsp': '', 'isapproved': 'Y', 'isonline': '', 'isvideo': '', 'original': '', 'proceedingtype': '', 'publisheddecisions': None, 'translated': '', 'videotitle': '', 'videourl': ''}]",22,ARB/26/3,"[{'Date_Concluded': None, 'arb_history': None, 'arbitrators': None, 'claimant': None, 'claimanthdr': None, 'clmnt_nationality': None, 'compoftribunalhdr': None, 'date_concluded_order': None, 'dateconstituted': '', 'datecreated': '', 'dateofconsthdr': None, 'datepublished': '', 'daterange': '', 'dateregistered': '1/16/2026 12:00:00 AM', 'development': '', 'isapproved': 'Y', 'language': None, 'lastproc': '', 'president': None, 'proceedingid': '', 'prsdnt_history': None, 'prtyisapproved': '', 'reconstituted': None, 'remarks': '', 'resp_nationality': None, 'respondent': None, 'sequenceno': '', 'status': None, 'title': '', 'trbisapproved': '', 'trbnlid': ''}]",,,Axis International Limited,,,,,Y,,Republic of Guinea,,,Pending,
,"[{'Date_Concluded': '', 'availinsite': None, 'bibliography': '', 'date_concluded_order': '', 'dcsndate': None, 'dcsnid': '', 'dcsntitle': '', 'docid': None, 'docurl': '', 'docurlen': '', 'docurlfr': '', 'docurlsp': '', 'isapproved': 'Y', 'isonline': '', 'isvideo': '', 'original': '', 'proceedingtype': '', 'publisheddecisions': None, 'translated': '', 'videotitle': '', 'videourl': ''}]",23,ARB/26/1,"[{'Date_Concluded': None, 'arb_history': None, 'arbitrators': None, 'claimant': None, 'claimanthdr': None, 'clmnt_nationality': None, 'compoftribunalhdr': None, 'date_concluded_order': None, 'dateconstituted': '', 'datecreated': '', 'dateofconsthdr': None, 'datepublished': '', 'daterange': '', 'dateregistered': '1/7/2026 12:00:00 AM', 'development': '', 'isapproved': 'Y', 'language': None, 'lastproc': '', 'president': None, 'proceedingid': '', 'prsdnt_history': None, 'prtyisapproved': '', 'reconstituted': None, 'remarks': '', 'resp_nationality': None, 'respondent': None, 'sequenceno': '', 'status': None, 'title': '', 'trbisapproved': '', 'trbnlid': ''}]",,,Hiroshi Osumi,,,,,Y,,Swiss Confederation,,,Pending,
